,volume_fraction_al2o3,volume_fraction_zro2,chord_length_mean_al2o3,chord_length_mean_zro2,chord_length_variance_al2o3,chord_length_variance_zro2,interface_al2o3_al2o3,interface_al2o3_zro2,interface_zro2_zro2,thermal_conductivity_composite,thermal_conductivity_al2o3,thermal_conductivity_zro2,temperature,data_source_Al2O3,rve,tcc,RVE_scaling_factor
rve_413/sim_0/results__thermal_conductivity.json,0.5024,0.4976,9.755699999999999e-06,3.1584e-05,5.8185e-06,1.3268e-05,0.56118,0.40763,0.031193,13.4280052,33.525106813241564,2.9587838342665,25,Jahm,rve_413,377000000.0,2.3e-06
rve_414/sim_0/results__thermal_conductivity.json,0.080444,0.91956,1.0408e-05,1.2506999999999999e-05,5.2399e-06,5.974899999999999e-06,0.0022534,0.18678,0.81097,3.64671702,33.525106813241564,2.9587838342665,25,Jahm,rve_414,377000000.0,2.3e-06
rve_415/sim_0/results__thermal_conductivity.json,0.47766,0.52234,9.7585e-06,1.5097e-05,4.9347e-06,7.023299999999999e-06,0.32984,0.51363,0.15652,11.8755705,33.525106813241564,2.9587838342665,25,Jahm,rve_415,377000000.0,2.3e-06
rve_416/sim_0/results__thermal_conductivity.json,0.13551,0.86449,6.6766e-06,1.2438e-05,3.5948999999999997e-06,5.9144e-06,0.050452,0.35656,0.59299,4.46998521,33.525106813241564,2.9587838342665,25,Jahm,rve_416,377000000.0,2.3e-06
rve_417/sim_0/results__thermal_conductivity.json,0.21385,0.78615,7.9397e-06,1.7497e-05,4.906399999999999e-06,8.4734e-06,0.14827,0.45444,0.39728,5.96015798,33.525106813241564,2.9587838342665,25,Jahm,rve_417,377000000.0,2.3e-06
rve_418/sim_0/results__thermal_conductivity.json,0.42894,0.57106,8.1715e-06,2.711e-05,4.8875e-06,1.3004e-05,0.52463,0.37742,0.097952,11.3370002,33.525106813241564,2.9587838342665,25,Jahm,rve_418,377000000.0,2.3e-06
rve_419/sim_0/results__thermal_conductivity.json,0.097176,0.90282,5.442199999999999e-06,1.5127e-05,3.6404999999999997e-06,7.478399999999999e-06,0.079969,0.30257,0.61746,3.9767578,33.525106813241564,2.9587838342665,25,Jahm,rve_419,377000000.0,2.3e-06
rve_420/sim_0/results__thermal_conductivity.json,0.17737,0.82263,1.5728999999999998e-05,1.4965999999999999e-05,7.5778e-06,7.322199999999999e-06,0.019656,0.30037,0.67998,4.88199758,33.525106813241564,2.9587838342665,25,Jahm,rve_420,377000000.0,2.3e-06
rve_422/sim_0/results__thermal_conductivity.json,0.79063,0.20937,2.2582999999999997e-05,7.7171e-06,1.0861e-05,5.2577e-06,0.35831,0.40903,0.23266,21.7714184,33.525106813241564,2.9587838342665,25,Jahm,rve_422,377000000.0,2.3e-06
rve_423/sim_0/results__thermal_conductivity.json,0.79551,0.20449,1.0763e-05,1.2954e-05,5.316299999999999e-06,5.7912e-06,0.67294,0.30256,0.024495,21.8005286,33.525106813241564,2.9587838342665,25,Jahm,rve_423,377000000.0,2.3e-06
rve_424/sim_0/results__thermal_conductivity.json,0.73215,0.26785,1.4255e-05,7.6101999999999996e-06,7.0492999999999996e-06,4.4246e-06,0.37165,0.44382,0.18453,19.1685504,33.525106813241564,2.9587838342665,25,Jahm,rve_424,377000000.0,2.3e-06
rve_425/sim_0/results__thermal_conductivity.json,0.78729,0.21271,1.3162e-05,1.3335999999999999e-05,6.1768e-06,6.246e-06,0.62245,0.3362,0.041353,21.2407947,33.525106813241564,2.9587838342665,25,Jahm,rve_425,377000000.0,2.3e-06
rve_426/sim_0/results__thermal_conductivity.json,0.88081,0.11919,1.3396e-05,1.2294e-05,6.2202999999999996e-06,5.8426e-06,0.75836,0.22816,0.013484,25.3068088,33.525106813241564,2.9587838342665,25,Jahm,rve_426,377000000.0,2.3e-06
rve_427/sim_0/results__thermal_conductivity.json,0.36655,0.63345,1.2137e-05,1.5361e-05,6.2464e-06,7.2653e-06,0.16866,0.50484,0.3265,8.92574009,33.525106813241564,2.9587838342665,25,Jahm,rve_427,377000000.0,2.3e-06
rve_428/sim_0/results__thermal_conductivity.json,0.17974,0.82026,8.9323e-06,1.3612e-05,4.6404e-06,6.3498e-06,0.066819,0.367,0.56619,5.14851672,33.525106813241564,2.9587838342665,25,Jahm,rve_428,377000000.0,2.3e-06
rve_429/sim_0/results__thermal_conductivity.json,0.71158,0.28842,2.0454e-05,7.877e-06,9.6184e-06,4.6345e-06,0.2671,0.44128,0.29162,18.3370765,33.525106813241564,2.9587838342665,25,Jahm,rve_429,377000000.0,2.3e-06
rve_430/sim_0/results__thermal_conductivity.json,0.59849,0.40151,1.1404e-05,1.1523999999999998e-05,5.529899999999999e-06,5.363699999999999e-06,0.34809,0.50326,0.14865,14.9867916,33.525106813241564,2.9587838342665,25,Jahm,rve_430,377000000.0,2.3e-06
rve_431/sim_0/results__thermal_conductivity.json,0.43842,0.56158,1.0357e-05,1.1083e-05,5.058099999999999e-06,5.1786e-06,0.19142,0.52592,0.28265,10.2485386,33.525106813241564,2.9587838342665,25,Jahm,rve_431,377000000.0,2.3e-06
rve_432/sim_0/results__thermal_conductivity.json,0.37435,0.62565,1.4699e-05,1.5297e-05,7.224199999999999e-06,7.6423e-06,0.15727,0.45248,0.39025,9.24551654,33.525106813241564,2.9587838342665,25,Jahm,rve_432,377000000.0,2.3e-06
rve_433/sim_0/results__thermal_conductivity.json,0.10332,0.89668,9.1027e-06,1.1788999999999998e-05,4.513499999999999e-06,5.511e-06,0.018148,0.22662,0.75523,3.94088905,33.525106813241564,2.9587838342665,25,Jahm,rve_433,377000000.0,2.3e-06
rve_434/sim_0/results__thermal_conductivity.json,0.19775,0.80225,9.1088e-06,1.6185e-05,4.9781e-06,7.784199999999999e-06,0.10905,0.39052,0.50043,5.33525061,33.525106813241564,2.9587838342665,25,Jahm,rve_434,377000000.0,2.3e-06
rve_435/sim_0/results__thermal_conductivity.json,0.3428,0.6572,1.4382999999999998e-05,9.6898e-06,6.2422999999999995e-06,4.7275999999999994e-06,0.079947,0.36243,0.55763,7.39480521,33.525106813241564,2.9587838342665,25,Jahm,rve_435,377000000.0,2.3e-06
rve_436/sim_0/results__thermal_conductivity.json,0.52609,0.47391,1.4053e-05,1.1859999999999998e-05,6.5987e-06,5.831599999999999e-06,0.22082,0.52629,0.25289,12.833352,33.525106813241564,2.9587838342665,25,Jahm,rve_436,377000000.0,2.3e-06
rve_437/sim_0/results__thermal_conductivity.json,0.374,0.626,8.008699999999998e-06,2.1493e-05,4.8978e-06,1.015e-05,0.4088,0.4147,0.1765,8.79786483,33.525106813241564,2.9587838342665,25,Jahm,rve_437,377000000.0,2.3e-06
rve_438/sim_0/results__thermal_conductivity.json,0.67725,0.32275,1.639e-05,7.450899999999999e-06,7.7627e-06,4.3030999999999995e-06,0.28221,0.41657,0.30123,15.9342465,33.525106813241564,2.9587838342665,25,Jahm,rve_438,377000000.0,2.3e-06
rve_439/sim_0/results__thermal_conductivity.json,0.37051,0.62949,1.8092999999999998e-05,9.063e-06,8.437799999999999e-06,4.6497e-06,0.046391,0.36343,0.59018,7.70242638,33.525106813241564,2.9587838342665,25,Jahm,rve_439,377000000.0,2.3e-06
rve_440/sim_0/results__thermal_conductivity.json,0.86379,0.13621,1.222e-05,9.9925e-06,5.624399999999999e-06,4.7838e-06,0.69522,0.28716,0.017616,24.4064985,33.525106813241564,2.9587838342665,25,Jahm,rve_440,377000000.0,2.3e-06
rve_441/sim_0/results__thermal_conductivity.json,0.53412,0.46588,2.1018e-05,1.0218999999999998e-05,9.2191e-06,5.447899999999999e-06,0.12693,0.46189,0.41117,12.1065004,33.525106813241564,2.9587838342665,25,Jahm,rve_441,377000000.0,2.3e-06
rve_443/sim_0/results__thermal_conductivity.json,0.65088,0.34912,9.507099999999999e-06,1.7201e-05,4.6630999999999995e-06,7.747899999999999e-06,0.59005,0.36343,0.046517,17.0490819,33.525106813241564,2.9587838342665,25,Jahm,rve_443,377000000.0,2.3e-06
rve_444/sim_0/results__thermal_conductivity.json,0.51815,0.48185,1.6173e-05,1.0606999999999999e-05,7.423e-06,5.474999999999999e-06,0.17568,0.47532,0.349,12.1860233,33.525106813241564,2.9587838342665,25,Jahm,rve_444,377000000.0,2.3e-06
rve_445/sim_0/results__thermal_conductivity.json,0.8942,0.1058,1.2249e-05,8.6645e-06,5.7001e-06,4.3737999999999995e-06,0.73526,0.24206,0.022678,25.4024625,33.525106813241564,2.9587838342665,25,Jahm,rve_445,377000000.0,2.3e-06
rve_446/sim_0/results__thermal_conductivity.json,0.64306,0.35694,1.3164999999999998e-05,1.6499999999999998e-05,6.4835e-06,7.5506999999999996e-06,0.47055,0.44457,0.084873,16.9249963,33.525106813241564,2.9587838342665,25,Jahm,rve_446,377000000.0,2.3e-06
rve_447/sim_0/results__thermal_conductivity.json,0.29221,0.70779,8.443899999999999e-06,3.4999e-05,5.4147e-06,1.5765e-05,0.42078,0.42078,0.15844,7.66767892,33.525106813241564,2.9587838342665,25,Jahm,rve_447,377000000.0,2.3e-06
rve_449/sim_0/results__thermal_conductivity.json,0.3651,0.6349,7.9367e-06,3.2962e-05,4.992499999999999e-06,1.5438e-05,0.50826,0.39289,0.098846,9.5135525,33.525106813241564,2.9587838342665,25,Jahm,rve_449,377000000.0,2.3e-06
rve_450/sim_0/results__thermal_conductivity.json,0.56031,0.43969,1.5849e-05,1.1887e-05,7.6956e-06,5.9713e-06,0.21507,0.54484,0.24009,13.7488876,33.525106813241564,2.9587838342665,25,Jahm,rve_450,377000000.0,2.3e-06
rve_451/sim_0/results__thermal_conductivity.json,0.66125,0.33875,2.1057999999999997e-05,1.0406e-05,9.7455e-06,5.8188e-06,0.22081,0.54088,0.23831,16.5392569,33.525106813241564,2.9587838342665,25,Jahm,rve_451,377000000.0,2.3e-06
